@relation banana1

@attribute x numeric
@attribute y numeric
@attribute class {1, 2}

@data
0.228,0.559,0
0.216,0.528,0
0.221,0.552,0
0.215,0.538,0
0.224,0.548,0
0.232,0.553,0
0.216,0.525,0
0.225,0.538,0
0.206,0.554,0
0.219,0.582,0
0.216,0.575,0
0.212,0.567,0
0.241,0.551,0
0.238,0.538,0
0.232,0.524,0
0.240,0.545,0
0.223,0.528,0
0.222,0.527,0
0.233,0.562,0
0.190,0.546,0
0.209,0.558,0
0.239,0.559,0
0.240,0.540,0
0.222,0.557,0
0.220,0.539,0
0.233,0.548,0
0.221,0.558,0
0.212,0.564,0
0.244,0.584,0
0.236,0.558,0
0.229,0.532,0
0.230,0.547,0
0.238,0.551,0
0.244,0.540,0
0.238,0.542,0
0.234,0.559,0
0.232,0.534,0
0.226,0.527,0
0.199,0.590,0
0.223,0.552,0
0.226,0.525,0
0.241,0.537,0
0.214,0.517,0
0.213,0.556,0
0.226,0.532,0
0.214,0.565,0
0.223,0.573,0
0.225,0.552,0
0.258,0.554,0
0.208,0.594,0
0.222,0.535,0
0.212,0.547,0
0.210,0.553,0
0.211,0.545,0
0.236,0.551,0
0.229,0.568,0
0.241,0.565,0
0.235,0.546,0
0.220,0.562,0
0.196,0.552,0
0.226,0.539,0
0.211,0.582,0
0.237,0.552,0
0.223,0.560,0
0.226,0.562,0
0.246,0.543,0
0.219,0.551,0
0.232,0.571,0
0.227,0.545,0
0.213,0.566,0
0.235,0.561,0
0.237,0.574,0
0.218,0.523,0
0.227,0.573,0
0.244,0.551,0
0.232,0.555,0
0.239,0.563,0
0.234,0.575,0
0.219,0.564,0
0.253,0.560,0
0.241,0.567,0
0.231,0.532,0
0.228,0.576,0
0.214,0.548,0
0.230,0.587,0
0.234,0.539,0
0.227,0.536,0
0.216,0.544,0
0.228,0.563,0
0.235,0.549,0
0.234,0.589,0
0.203,0.575,0
0.248,0.567,0
0.226,0.537,0
0.213,0.594,0
0.223,0.534,0
0.250,0.579,0
0.207,0.523,0
0.233,0.576,0
0.242,0.584,0
0.221,0.556,0
0.234,0.568,0
0.231,0.580,0
0.228,0.559,0
0.215,0.545,0
0.244,0.573,0
0.225,0.572,0
0.248,0.544,0
0.239,0.550,0
0.230,0.579,0
0.244,0.600,0
0.229,0.571,0
0.224,0.574,0
0.251,0.578,0
0.224,0.560,0
0.260,0.600,0
0.206,0.570,0
0.208,0.589,0
0.218,0.561,0
0.220,0.562,0
0.231,0.607,0
0.203,0.562,0
0.229,0.546,0
0.256,0.553,0
0.245,0.576,0
0.227,0.600,0
0.237,0.559,0
0.236,0.607,0
0.245,0.586,0
0.231,0.581,0
0.215,0.557,0
0.245,0.568,0
0.212,0.560,0
0.213,0.579,0
0.227,0.578,0
0.224,0.593,0
0.221,0.584,0
0.211,0.579,0
0.215,0.610,0
0.230,0.569,0
0.223,0.553,0
0.216,0.578,0
0.222,0.568,0
0.244,0.588,0
0.238,0.557,0
0.240,0.576,0
0.240,0.603,0
0.231,0.591,0
0.239,0.625,0
0.219,0.622,0
0.230,0.565,0
0.227,0.615,0
0.215,0.606,0
0.217,0.613,0
0.234,0.591,0
0.236,0.596,0
0.223,0.559,0
0.229,0.579,0
0.236,0.594,0
0.213,0.595,0
0.243,0.587,0
0.236,0.610,0
0.231,0.591,0
0.216,0.577,0
0.227,0.636,0
0.214,0.598,0
0.237,0.598,0
0.238,0.619,0
0.222,0.591,0
0.226,0.590,0
0.252,0.608,0
0.230,0.582,0
0.228,0.606,0
0.223,0.638,0
0.221,0.616,0
0.226,0.598,0
0.220,0.585,0
0.230,0.589,0
0.210,0.621,0
0.216,0.572,0
0.220,0.589,0
0.237,0.597,0
0.238,0.555,0
0.213,0.608,0
0.223,0.581,0
0.209,0.575,0
0.218,0.590,0
0.252,0.623,0
0.221,0.647,0
0.236,0.582,0
0.218,0.610,0
0.240,0.591,0
0.229,0.612,0
0.210,0.570,0
0.228,0.615,0
0.220,0.628,0
0.225,0.598,0
0.223,0.608,0
0.211,0.603,0
0.211,0.594,0
0.212,0.602,0
0.230,0.571,0
0.259,0.627,0
0.247,0.595,0
0.208,0.625,0
0.218,0.630,0
0.208,0.641,0
0.218,0.602,0
0.226,0.553,0
0.211,0.622,0
0.218,0.600,0
0.219,0.603,0
0.237,0.626,0
0.213,0.609,0
0.215,0.614,0
0.218,0.610,0
0.244,0.592,0
0.221,0.599,0
0.240,0.609,0
0.216,0.613,0
0.231,0.638,0
0.224,0.640,0
0.242,0.595,0
0.261,0.642,0
0.243,0.627,0
0.236,0.609,0
0.217,0.639,0
0.213,0.620,0
0.223,0.585,0
0.222,0.580,0
0.222,0.615,0
0.222,0.620,0
0.221,0.608,0
0.209,0.611,0
0.188,0.631,0
0.231,0.582,0
0.222,0.637,0
0.210,0.648,0
0.218,0.597,0
0.218,0.623,0
0.211,0.613,0
0.228,0.612,0
0.189,0.637,0
0.221,0.619,0
0.223,0.607,0
0.249,0.641,0
0.219,0.606,0
0.245,0.637,0
0.212,0.629,0
0.194,0.595,0
0.223,0.594,0
0.209,0.645,0
0.233,0.612,0
0.220,0.625,0
0.236,0.599,0
0.222,0.655,0
0.246,0.611,0
0.225,0.626,0
0.206,0.577,0
0.224,0.636,0
0.207,0.604,0
0.215,0.629,0
0.226,0.634,0
0.198,0.605,0
0.219,0.635,0
0.215,0.642,0
0.199,0.635,0
0.216,0.617,0
0.239,0.625,0
0.205,0.626,0
0.212,0.629,0
0.221,0.605,0
0.245,0.618,0
0.209,0.629,0
0.225,0.635,0
0.197,0.583,0
0.215,0.621,0
0.204,0.635,0
0.214,0.605,0
0.203,0.634,0
0.224,0.656,0
0.237,0.646,0
0.226,0.651,0
0.255,0.637,0
0.206,0.616,0
0.232,0.616,0
0.221,0.609,0
0.207,0.627,0
0.237,0.643,0
0.222,0.644,0
0.213,0.628,0
0.208,0.613,0
0.223,0.661,0
0.220,0.642,0
0.220,0.639,0
0.200,0.663,0
0.211,0.641,0
0.231,0.607,0
0.224,0.630,0
0.227,0.661,0
0.206,0.606,0
0.207,0.655,0
0.201,0.648,0
0.226,0.642,0
0.231,0.650,0
0.213,0.651,0
0.249,0.680,0
0.219,0.664,0
0.219,0.653,0
0.183,0.657,0
0.225,0.666,0
0.210,0.649,0
0.219,0.638,0
0.182,0.620,0
0.202,0.661,0
0.224,0.624,0
0.196,0.654,0
0.217,0.687,0
0.197,0.669,0
0.254,0.668,0
0.221,0.657,0
0.232,0.660,0
0.230,0.672,0
0.206,0.689,0
0.211,0.697,0
0.200,0.665,0
0.221,0.659,0
0.239,0.644,0
0.218,0.664,0
0.191,0.649,0
0.202,0.637,0
0.223,0.648,0
0.219,0.674,0
0.206,0.671,0
0.229,0.649,0
0.230,0.671,0
0.232,0.653,0
0.219,0.673,0
0.211,0.672,0
0.221,0.654,0
0.195,0.666,0
0.211,0.690,0
0.240,0.699,0
0.186,0.685,0
0.199,0.683,0
0.230,0.653,0
0.204,0.661,0
0.227,0.664,0
0.222,0.710,0
0.218,0.683,0
0.192,0.677,0
0.215,0.680,0
0.223,0.683,0
0.209,0.698,0
0.227,0.677,0
0.241,0.695,0
0.206,0.682,0
0.243,0.702,0
0.236,0.710,0
0.223,0.677,0
0.224,0.687,0
0.211,0.667,0
0.250,0.659,0
0.227,0.668,0
0.219,0.728,0
0.224,0.693,0
0.220,0.675,0
0.211,0.692,0
0.230,0.685,0
0.219,0.694,0
0.227,0.676,0
0.240,0.724,0
0.209,0.711,0
0.239,0.683,0
0.210,0.682,0
0.225,0.703,0
0.233,0.659,0
0.220,0.691,0
0.239,0.701,0
0.224,0.680,0
0.221,0.730,0
0.222,0.703,0
0.196,0.686,0
0.231,0.709,0
0.225,0.700,0
0.209,0.719,0
0.234,0.696,0
0.209,0.734,0
0.238,0.694,0
0.235,0.689,0
