% source: G. Karypis, "CLUTO A Clustering Toolkit," Dept. of Computer Science, University of Minnesota,
% Tech. Rep. 02-017, 2002, available at http://www.cs.umn.edu/~cluto
%
@RELATION cluto-t5-8k
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {-1,0,1,2,3,4,5}
%s
@DATA
121.561996,81.001999,0
762.096985,70.461998,5
127.569,113.457001,0
95.467003,116.822998,0
652.234009,60.743,1
324.015991,91.058998,2
639.747986,109.970001,1
360.282013,38.381001,2
306.850006,71.127998,2
484.187012,87.379997,3
393.657013,84.093002,-1
506.434998,122.746002,3
112.581001,19.120001,-1
228.705002,74.679001,4
649.466003,77.259003,1
768.130005,109.450996,5
747.573975,84.311996,5
775.633972,78.057999,5
241.565002,83.218002,4
682.984985,77.012001,-1
577.830994,106.556999,1
253.660995,77.766998,4
64.115997,94.832001,0
55.554001,77.417,0
548.424011,67.278999,-1
733.078003,83.186996,5
310.682007,80.522003,2
745.864014,142.261002,-1
290.442993,155.729996,-1
598.054016,106.678001,1
87.004997,36.759998,0
639.640991,46.352001,1
119.848,119.064003,0
60.721001,116.612999,0
722.375,48.498001,5
691.05603,77.653,-1
635.617004,104.271004,1
725.528015,89.980003,5
510.291992,66.658997,3
619.107971,126.945999,1
611.562988,121.912003,1
312.51001,81.755997,2
640.291016,99.178001,1
373.234985,45.612999,2
375.992004,91.449997,2
232.694,109.503998,4
605.695007,33.347,1
624.91803,76.685997,1
463.015991,70.754997,3
292.125,55.312,-1
521.155029,65.891998,3
748.950012,118.772003,5
627.442993,148.744003,-1
319.139008,114.913002,2
374.606995,90.989998,2
473.226013,86.073997,3
460.148987,87.914001,3
589.187012,41.852001,1
66.552002,102.445,0
428.223999,81.871002,-1
719.450989,41.173,5
643.057007,88.280998,1
319.290985,114.130997,2
552.572021,91.389,-1
372.127014,101.216003,2
219.613007,124.125999,4
305.470001,75.464996,2
190.897995,63.881001,4
669.844971,77.023003,-1
747.578003,82.941002,5
612.718018,127.416,1
650.607971,85.202003,1
562.491028,77.732002,-1
99.407997,123.476997,0
373.578003,47.561001,2
119.271004,41.755001,0
320.598999,102.574997,2
473.028015,97.907997,-1
386.785004,61.125999,2
43.040001,145.251007,-1
730.557983,89.420998,5
392.695007,89.742996,2
315.665985,79.015999,2
714.502991,103.897003,5
72.172997,36.658001,0
742.702026,44.07,5
232.733002,85.996002,4
589.484985,28.806999,-1
510.835999,114.318001,3
458.40799,95.913002,3
544.504028,32.652,-1
358.075012,35.200001,2
641.109009,97.644997,1
271.841003,76.975998,-1
686.612,37.124001,-1
451.606995,119.617996,3
597.505981,111.469002,1
506.488007,45.852001,3
191.632996,73.132004,4
220.776993,113.158997,4
594.893982,104.123001,1
507.376007,103.654999,3
342.789001,34.183998,2
223.962997,84.974998,4
74.682999,77.225998,-1
50.952999,91.820999,0
641.02301,116.862999,1
687.879028,76.602997,-1
447.983002,61.563999,3
195.001007,49.942001,4
637.169983,56.174999,1
107.400002,94.708,-1
124.691002,88.194,0
286.438995,147.785995,-1
79.572998,124.060997,0
516.916016,75.572998,3
93.746002,90.277,0
182.621002,154.496002,-1
187.882004,94.653999,4
166.625,141.270004,-1
776.242981,123.374001,5
651.09198,111.934998,1
372.493011,54.273998,2
372.528015,122.831001,2
520.409973,60.632,3
477.234985,35.341999,3
367.325012,148.106995,-1
611.195984,40.414001,1
206.240005,76.779999,4
599.150024,114.672997,1
450.311005,123.221001,3
102.848,76.717003,0
620.140991,42.645,1
260.604004,75.376999,-1
197.102005,38.658001,4
241.089996,83.378998,4
458.634003,51.484001,3
634.554993,121.371002,1
332.700012,116.450996,2
486.208008,39.754002,3
235.893005,82.325996,4
110.369003,35.653,0
305.644012,82.112,2
718.070984,109.137001,5
317.049011,71.785004,2
188.914001,90.891998,4
341.95401,113.425003,2
48.502998,96.016998,0
604.322021,109.995003,1
636.380981,38.622002,1
527.085999,135.666,-1
69.582001,43.792,0
335.645996,33.296001,2
248.576004,76.853996,4
141.582993,68.907997,-1
498.319,38.799999,3
457.346985,98.192001,3
658.244019,109.745003,1
459.993011,33.548,3
460.234009,33.227001,3
245.024002,49.400002,4
346.335999,44.568001,2
376.609009,90.900002,2
94.543999,121.655998,0
644.026001,71.632004,-1
714.637024,122.553001,5
430.699005,127.126999,-1
741.916016,78.759003,5
513.549988,95.879997,3
225.423996,36.782001,4
55.263,111.043999,0
493.289001,36.257,3
68.233002,119.808998,0
146.214005,63.529999,-1
233.895996,123.693001,4
478.216003,88.043999,3
120.879997,91.778999,0
717.382996,94.103996,5
732.570984,48.646999,5
779.166992,37.557999,5
339.597992,33.405998,2
488.567993,107.682999,-1
459.346008,61.339001,3
593.408997,65.935997,1
720.16803,48.491001,5
77.405998,123.671997,0
195.647995,96.322998,4
82.730003,124.036003,0
282.707001,77.032997,-1
381.621002,53.877998,2
354.424988,31.01,2
456.967987,53.887001,3
384.653015,48.089001,2
588.317017,58.639,1
112.978996,81.394997,0
200.477997,120.681,4
29.712,141.990005,-1
642.692993,43.034,1
486.373993,80.212997,3
515.658997,69.102997,3
636.481995,51.926998,1
587.796021,85.054001,1
510.266998,104.704002,3
778.062988,114.960999,5
423.18399,24.643,-1
767.116028,85.416,5
461.837006,119.569,3
758.236023,49.355999,5
72.792,76.675003,-1
530.013,13.297,-1
320.278992,140.518005,-1
508.720001,57.502998,3
249.076996,40.504002,4
72.396004,112.041,0
74.106003,45.66,0
516.254028,45.93,3
623.921997,84.581001,1
440.533997,113.839996,-1
456.123993,44.028,3
375.730011,66.107002,2
317.127991,75.265999,2
745.804993,79.991997,5
604.692993,122.417,1
59.950001,60.261002,0
56.124001,45.519001,0
623.828979,44.862,1
254.873993,43.712002,-1
354.355011,115.925003,2
629.955017,82.207001,1
121.353996,44.779999,0
380.589996,56.901001,2
584.755981,75.643997,1
354.960999,45.889999,2
329.510986,37.330002,2
765.323975,115.348999,5
218.179993,117.703003,4
220.067001,115.468002,4
654.763,105.094002,1
597.067993,38.337002,1
227.815002,120.308998,4
515.130005,62.080002,3
311.639008,53.271,2
86.838997,112.572998,0
240.677994,46.609001,4
77.702003,120.695,0
456.873993,49.208,3
514.29303,124.474998,3
644.585022,105.522003,1
91.213997,116.904999,0
206.981995,135.457001,-1
252.604996,140.686996,-1
198.126999,46.876999,4
344.164001,109.220001,2
718.526978,87.886002,5
471.446014,82.787003,3
317.475006,73.103996,2
165.574005,33.465,-1
61.921001,101.186996,0
475.976013,82.362,3
590.539001,81.307999,1
170.145004,155.447998,-1
646.815002,83.851997,1
514.857971,76.901001,3
728.578003,35.976002,5
267.953003,75.455002,-1
729.471985,121.225998,5
60.960999,51.125,0
754.866028,46.094002,5
730.203003,93.639999,5
724.851013,45.264,5
490.066986,43.081001,3
588.690979,109.891998,1
130.192993,105.751999,0
748.648987,111.066002,5
746.942017,76.223999,5
539.489014,90.940002,-1
541.929016,127.425003,-1
712.724976,144.891006,-1
449.040009,104.528999,3
617.327026,111.441002,1
323.906006,102.872002,2
733.588013,114.431,5
733.280029,98.421997,5
732.362,108.734001,5
654.760986,90.551003,1
214.742996,33.264999,4
481.746002,35.120998,3
482.748993,123.777,-1
723.031982,34.172001,5
326.950012,105.859001,2
575.088989,85.667,1
609.60498,54.159,-1
97.473,36.771,0
349.131012,115.434998,2
635.658997,90.713997,1
653.192017,123.058998,1
607.77301,42.727001,1
630.557007,110.401001,1
638.122009,130.636002,-1
735.413025,36.313999,5
575.56897,61.026001,1
214.223007,74.651001,4
505.901001,109.557999,3
323.751007,71.248001,2
761.765015,76.658997,5
113.734001,44.337002,0
501.509003,105.337997,3
456.885986,53.452999,3
363.040985,49.860001,2
97.542,41.84,0
479.365997,97.571999,-1
312.683014,91.047997,2
731.72998,97.913002,5
454.174988,104.261002,3
634.804993,80.237,1
511.48999,48.262001,3
325.207001,103.552002,2
112.780998,75.331001,0
469.40799,48.069,3
